timestamp,annee,mois,nom_jour_semaine,type_jour,est_ferie,libelle_jour_special,heure,consommation_mwh,temperature_celsius,taux_co2_g_kwh,part_enr_pourcentage,temperature_normale_saison_celsius,ecart_a_la_normale_celsius
2022-06-01 00:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,0,202.25,11.1,2.12,2.38,17.841891849363172,-6.74
2022-06-01 01:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,1,180.0,11.5,2.29,2.58,17.292567491531372,-5.79
2022-06-01 02:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,2,183.0,11.6,2.33,2.62,16.956081087524826,-5.36
2022-06-01 03:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,3,210.75,10.4,2.29,2.5,16.379729702665998,-5.98
2022-06-01 04:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,4,246.75,10.8,2.01,2.35,16.02364866153614,-5.22
2022-06-01 05:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,5,309.25,11.1,2.4,3.06,15.722973063185409,-4.62
2022-06-01 06:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,6,347.75,10.6,1.93,5.13,15.404054061786548,-4.8
2022-06-01 07:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,7,368.0,10.7,2.16,9.93,15.64527028315776,-4.95
2022-06-01 08:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,8,392.75,11.6,2.41,15.13,16.71148648133149,-5.11
2022-06-01 09:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,9,407.75,13.2,1.91,18.36,18.035810818543304,-4.84
2022-06-01 10:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,10,420.0,15.3,1.33,19.83,19.498648643493652,-4.2
2022-06-01 11:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,11,411.5,17.2,1.04,21.19,20.933108110685605,-3.73
2022-06-01 12:00:00,2022,6,Mardi,Semaine,false,Jour Ouvré,12,392.5,18.9,0.8,21.76,22.172789061150585,-3.27
