code_insee_region,libelle_region,nature,date,heure,date_heure,consommation,thermique,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,ech_physiques,stockage_batterie,destockage_batterie,tco_thermique,tch_thermique,tco_nucleaire,tch_nucleaire,tco_eolien,tch_eolien,tco_solaire,tch_solaire,tco_hydraulique,tch_hydraulique,tco_bioenergies,tch_bioenergies,column_68
52,Pays de la Loire,Données temps réel,2026-02-01,03:30,2026-02-01T02:30:00+00:00,3100,536,0,464,0,15,0,104,1981,0,0,17.29,27.06,0.0,,14.97,20.08,0.0,0.0,0.48,150.0,3.35,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,04:00,2026-02-01T03:00:00+00:00,2988,536,0,523,0,15,0,104,1809,0,0,17.94,27.06,0.0,,17.5,22.63,0.0,0.0,0.5,150.0,3.48,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,06:15,2026-02-01T05:15:00+00:00,3140,529,0,1082,0,15,0,104,1409,0,0,16.85,26.7,0.0,,34.46,46.82,0.0,0.0,0.48,150.0,3.31,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,07:00,2026-02-01T06:00:00+00:00,3169,433,0,1237,0,15,0,104,1379,0,0,13.66,21.86,0.0,,39.03,53.53,0.0,0.0,0.47,150.0,3.28,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,08:15,2026-02-01T07:15:00+00:00,3238,548,0,1296,8,15,0,104,1266,0,0,16.92,27.66,0.0,,40.02,56.08,0.25,0.39,0.46,150.0,3.21,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,08:45,2026-02-01T07:45:00+00:00,3316,591,0,1221,38,15,0,104,1346,0,0,17.82,29.83,0.0,,36.82,52.83,1.15,1.84,0.45,150.0,3.14,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,09:00,2026-02-01T08:00:00+00:00,3369,494,0,1202,44,15,0,104,1510,0,0,14.66,24.94,0.0,,35.68,52.01,1.31,2.14,0.45,150.0,3.09,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,10:45,2026-02-01T09:45:00+00:00,3478,462,0,923,310,15,0,104,1664,0,0,13.28,23.32,0.0,,26.54,39.94,8.91,15.05,0.43,150.0,2.99,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,11:00,2026-02-01T10:00:00+00:00,3468,446,0,931,364,15,0,104,1610,-1,0,12.86,22.51,0.0,,26.85,40.29,10.5,17.67,0.43,150.0,3.0,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,11:45,2026-02-01T10:45:00+00:00,3477,502,0,1090,466,15,0,104,1299,0,0,14.44,25.34,0.0,,31.35,47.17,13.4,22.62,0.43,150.0,2.99,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,12:15,2026-02-01T11:15:00+00:00,3532,640,0,1095,481,15,0,104,1196,0,0,18.12,32.31,0.0,,31.0,47.38,13.62,23.35,0.42,150.0,2.94,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,12:45,2026-02-01T11:45:00+00:00,3599,604,0,1077,491,15,0,104,1307,0,0,16.78,30.49,0.0,,29.92,46.6,13.64,23.83,0.42,150.0,2.89,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,13:15,2026-02-01T12:15:00+00:00,3446,543,0,1125,504,15,0,104,1154,0,0,15.76,27.41,0.0,,32.65,48.68,14.63,24.47,0.44,150.0,3.02,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,13:45,2026-02-01T12:45:00+00:00,3293,543,0,1205,493,15,0,104,933,0,0,16.49,27.41,0.0,,36.59,52.14,14.97,23.93,0.46,150.0,3.16,114.29,
52,Pays de la Loire,Données temps réel,2026-02-01,14:30,2026-02-01T13:30:00+00:00,3309,640,0,1297,456,15,0,104,797,0,0,19.34,32.31,0.0,,39.2,56.12,13.78,22.14,0.45,150.0,3.14,114.29,
