date_heure,libelle_metropole,consommation
2022-06-01 00:00:00+00:00,Nantes Métropole,202.25
2022-06-01 01:00:00+00:00,Nantes Métropole,180.0
2022-06-01 02:00:00+00:00,Nantes Métropole,183.0
2022-06-01 03:00:00+00:00,Nantes Métropole,210.75
2022-06-01 04:00:00+00:00,Nantes Métropole,246.75
2022-06-01 05:00:00+00:00,Nantes Métropole,309.25
2022-06-01 06:00:00+00:00,Nantes Métropole,347.75
2022-06-01 07:00:00+00:00,Nantes Métropole,368.0
2022-06-01 08:00:00+00:00,Nantes Métropole,392.75
2022-06-01 09:00:00+00:00,Nantes Métropole,407.75
2022-06-01 10:00:00+00:00,Nantes Métropole,420.0
2022-06-01 11:00:00+00:00,Nantes Métropole,411.5
2022-06-01 12:00:00+00:00,Nantes Métropole,392.5
2022-06-01 13:00:00+00:00,Nantes Métropole,368.25
2022-06-01 14:00:00+00:00,Nantes Métropole,368.75
2022-06-01 15:00:00+00:00,Nantes Métropole,384.25
2022-06-01 16:00:00+00:00,Nantes Métropole,387.5
2022-06-01 17:00:00+00:00,Nantes Métropole,398.25
2022-06-01 18:00:00+00:00,Nantes Métropole,369.5
2022-06-01 19:00:00+00:00,Nantes Métropole,346.25
2022-06-01 20:00:00+00:00,Nantes Métropole,333.0
2022-06-01 21:00:00+00:00,Nantes Métropole,322.75
2022-06-01 22:00:00+00:00,Nantes Métropole,299.25
2022-06-01 23:00:00+00:00,Nantes Métropole,255.0
2022-06-02 00:00:00+00:00,Nantes Métropole,235.0
2022-06-02 01:00:00+00:00,Nantes Métropole,207.5
2022-06-02 02:00:00+00:00,Nantes Métropole,206.0
2022-06-02 03:00:00+00:00,Nantes Métropole,228.5
2022-06-02 04:00:00+00:00,Nantes Métropole,266.25
2022-06-02 05:00:00+00:00,Nantes Métropole,309.75
2022-06-02 06:00:00+00:00,Nantes Métropole,348.0
2022-06-02 07:00:00+00:00,Nantes Métropole,364.0
2022-06-02 08:00:00+00:00,Nantes Métropole,380.25
2022-06-02 09:00:00+00:00,Nantes Métropole,401.25
2022-06-02 10:00:00+00:00,Nantes Métropole,419.75
2022-06-02 11:00:00+00:00,Nantes Métropole,399.25
2022-06-02 12:00:00+00:00,Nantes Métropole,386.75
2022-06-02 13:00:00+00:00,Nantes Métropole,371.75
2022-06-02 14:00:00+00:00,Nantes Métropole,375.5
2022-06-02 15:00:00+00:00,Nantes Métropole,374.5
2022-06-02 16:00:00+00:00,Nantes Métropole,380.75
2022-06-02 17:00:00+00:00,Nantes Métropole,377.5
2022-06-02 18:00:00+00:00,Nantes Métropole,351.25
2022-06-02 19:00:00+00:00,Nantes Métropole,316.25
2022-06-02 20:00:00+00:00,Nantes Métropole,316.25
2022-06-02 21:00:00+00:00,Nantes Métropole,310.25
2022-06-02 22:00:00+00:00,Nantes Métropole,290.75
2022-06-02 23:00:00+00:00,Nantes Métropole,262.0
2022-06-03 00:00:00+00:00,Nantes Métropole,226.25
2022-06-03 01:00:00+00:00,Nantes Métropole,187.5
2022-06-03 02:00:00+00:00,Nantes Métropole,174.75
2022-06-03 03:00:00+00:00,Nantes Métropole,189.25
2022-06-03 04:00:00+00:00,Nantes Métropole,230.75
2022-06-03 05:00:00+00:00,Nantes Métropole,278.5
2022-06-03 06:00:00+00:00,Nantes Métropole,313.0
2022-06-03 07:00:00+00:00,Nantes Métropole,323.5
2022-06-03 08:00:00+00:00,Nantes Métropole,331.0
2022-06-03 09:00:00+00:00,Nantes Métropole,350.0
2022-06-03 10:00:00+00:00,Nantes Métropole,377.25
2022-06-03 11:00:00+00:00,Nantes Métropole,376.25
2022-06-03 12:00:00+00:00,Nantes Métropole,355.75
2022-06-03 13:00:00+00:00,Nantes Métropole,349.0
2022-06-03 14:00:00+00:00,Nantes Métropole,365.25
2022-06-03 15:00:00+00:00,Nantes Métropole,363.0
2022-06-03 16:00:00+00:00,Nantes Métropole,360.75
2022-06-03 17:00:00+00:00,Nantes Métropole,355.0
2022-06-03 18:00:00+00:00,Nantes Métropole,314.75
2022-06-03 19:00:00+00:00,Nantes Métropole,266.5
2022-06-03 20:00:00+00:00,Nantes Métropole,266.0
2022-06-03 21:00:00+00:00,Nantes Métropole,272.25
2022-06-03 22:00:00+00:00,Nantes Métropole,259.0
2022-06-03 23:00:00+00:00,Nantes Métropole,207.5
2022-06-04 00:00:00+00:00,Nantes Métropole,176.5
2022-06-04 01:00:00+00:00,Nantes Métropole,157.25
2022-06-04 02:00:00+00:00,Nantes Métropole,144.0
2022-06-04 03:00:00+00:00,Nantes Métropole,144.75
